trial,s1,s2,s3,i1,i2,i3
0,5,30,50,imgs/s_5_r_5.png,imgs/s_30_r_5.png,imgs/s_50_r_5.png
1,50,15,10,imgs/s_50_r_5.png,imgs/s_15_r_5.png,imgs/s_10_r_5.png
2,5,20,40,imgs/s_5_r_5.png,imgs/s_20_r_5.png,imgs/s_40_r_5.png
3,20,30,50,imgs/s_20_r_5.png,imgs/s_30_r_5.png,imgs/s_50_r_5.png
4,15,20,40,imgs/s_15_r_5.png,imgs/s_20_r_5.png,imgs/s_40_r_5.png
5,50,40,25,imgs/s_50_r_5.png,imgs/s_40_r_5.png,imgs/s_25_r_5.png
6,60,20,15,imgs/s_60_r_5.png,imgs/s_20_r_5.png,imgs/s_15_r_5.png
7,60,50,30,imgs/s_60_r_5.png,imgs/s_50_r_5.png,imgs/s_30_r_5.png
8,50,10,5,imgs/s_50_r_5.png,imgs/s_10_r_5.png,imgs/s_5_r_5.png
9,10,30,60,imgs/s_10_r_5.png,imgs/s_30_r_5.png,imgs/s_60_r_5.png
10,30,10,5,imgs/s_30_r_5.png,imgs/s_10_r_5.png,imgs/s_5_r_5.png
11,10,25,40,imgs/s_10_r_5.png,imgs/s_25_r_5.png,imgs/s_40_r_5.png
12,60,30,20,imgs/s_60_r_5.png,imgs/s_30_r_5.png,imgs/s_20_r_5.png
13,5,20,30,imgs/s_5_r_5.png,imgs/s_20_r_5.png,imgs/s_30_r_5.png
14,60,30,15,imgs/s_60_r_5.png,imgs/s_30_r_5.png,imgs/s_15_r_5.png
15,60,25,5,imgs/s_60_r_5.png,imgs/s_25_r_5.png,imgs/s_5_r_5.png
16,25,50,60,imgs/s_25_r_5.png,imgs/s_50_r_5.png,imgs/s_60_r_5.png
17,15,50,60,imgs/s_15_r_5.png,imgs/s_50_r_5.png,imgs/s_60_r_5.png
18,5,25,50,imgs/s_5_r_5.png,imgs/s_25_r_5.png,imgs/s_50_r_5.png
19,50,40,15,imgs/s_50_r_5.png,imgs/s_40_r_5.png,imgs/s_15_r_5.png
20,30,25,15,imgs/s_30_r_5.png,imgs/s_25_r_5.png,imgs/s_15_r_5.png
21,20,30,40,imgs/s_20_r_5.png,imgs/s_30_r_5.png,imgs/s_40_r_5.png
22,30,40,60,imgs/s_30_r_5.png,imgs/s_40_r_5.png,imgs/s_60_r_5.png
23,60,25,15,imgs/s_60_r_5.png,imgs/s_25_r_5.png,imgs/s_15_r_5.png
