trial,s1,s2,s3,i1,i2,i3
0,10,15,25,imgs/s_10_r_2.png,imgs/s_15_r_2.png,imgs/s_25_r_2.png
1,60,25,10,imgs/s_60_r_2.png,imgs/s_25_r_2.png,imgs/s_10_r_2.png
2,50,20,15,imgs/s_50_r_2.png,imgs/s_20_r_2.png,imgs/s_15_r_2.png
3,30,40,50,imgs/s_30_r_2.png,imgs/s_40_r_2.png,imgs/s_50_r_2.png
4,50,30,25,imgs/s_50_r_2.png,imgs/s_30_r_2.png,imgs/s_25_r_2.png
5,40,25,10,imgs/s_40_r_2.png,imgs/s_25_r_2.png,imgs/s_10_r_2.png
6,5,10,50,imgs/s_5_r_2.png,imgs/s_10_r_2.png,imgs/s_50_r_2.png
7,15,10,5,imgs/s_15_r_2.png,imgs/s_10_r_2.png,imgs/s_5_r_2.png
8,60,30,25,imgs/s_60_r_2.png,imgs/s_30_r_2.png,imgs/s_25_r_2.png
9,20,30,60,imgs/s_20_r_2.png,imgs/s_30_r_2.png,imgs/s_60_r_2.png
10,10,15,60,imgs/s_10_r_2.png,imgs/s_15_r_2.png,imgs/s_60_r_2.png
11,60,50,30,imgs/s_60_r_2.png,imgs/s_50_r_2.png,imgs/s_30_r_2.png
12,50,25,10,imgs/s_50_r_2.png,imgs/s_25_r_2.png,imgs/s_10_r_2.png
13,50,25,5,imgs/s_50_r_2.png,imgs/s_25_r_2.png,imgs/s_5_r_2.png
14,15,25,60,imgs/s_15_r_2.png,imgs/s_25_r_2.png,imgs/s_60_r_2.png
15,25,40,50,imgs/s_25_r_2.png,imgs/s_40_r_2.png,imgs/s_50_r_2.png
16,5,10,30,imgs/s_5_r_2.png,imgs/s_10_r_2.png,imgs/s_30_r_2.png
17,60,40,25,imgs/s_60_r_2.png,imgs/s_40_r_2.png,imgs/s_25_r_2.png
18,5,10,40,imgs/s_5_r_2.png,imgs/s_10_r_2.png,imgs/s_40_r_2.png
19,20,25,30,imgs/s_20_r_2.png,imgs/s_25_r_2.png,imgs/s_30_r_2.png
20,10,30,50,imgs/s_10_r_2.png,imgs/s_30_r_2.png,imgs/s_50_r_2.png
21,5,15,50,imgs/s_5_r_2.png,imgs/s_15_r_2.png,imgs/s_50_r_2.png
