trial,s1,s2,s3,i1,i2,i3
0,60,25,20,imgs/s_60_r_4.png,imgs/s_25_r_4.png,imgs/s_20_r_4.png
1,15,30,50,imgs/s_15_r_4.png,imgs/s_30_r_4.png,imgs/s_50_r_4.png
2,50,30,20,imgs/s_50_r_4.png,imgs/s_30_r_4.png,imgs/s_20_r_4.png
3,20,15,10,imgs/s_20_r_4.png,imgs/s_15_r_4.png,imgs/s_10_r_4.png
4,15,25,60,imgs/s_15_r_4.png,imgs/s_25_r_4.png,imgs/s_60_r_4.png
5,60,15,5,imgs/s_60_r_4.png,imgs/s_15_r_4.png,imgs/s_5_r_4.png
6,50,40,30,imgs/s_50_r_4.png,imgs/s_40_r_4.png,imgs/s_30_r_4.png
7,5,50,60,imgs/s_5_r_4.png,imgs/s_50_r_4.png,imgs/s_60_r_4.png
8,60,30,15,imgs/s_60_r_4.png,imgs/s_30_r_4.png,imgs/s_15_r_4.png
9,40,30,10,imgs/s_40_r_4.png,imgs/s_30_r_4.png,imgs/s_10_r_4.png
10,5,40,60,imgs/s_5_r_4.png,imgs/s_40_r_4.png,imgs/s_60_r_4.png
11,30,15,5,imgs/s_30_r_4.png,imgs/s_15_r_4.png,imgs/s_5_r_4.png
12,25,15,10,imgs/s_25_r_4.png,imgs/s_15_r_4.png,imgs/s_10_r_4.png
13,60,40,10,imgs/s_60_r_4.png,imgs/s_40_r_4.png,imgs/s_10_r_4.png
14,60,50,30,imgs/s_60_r_4.png,imgs/s_50_r_4.png,imgs/s_30_r_4.png
15,15,20,60,imgs/s_15_r_4.png,imgs/s_20_r_4.png,imgs/s_60_r_4.png
16,5,10,30,imgs/s_5_r_4.png,imgs/s_10_r_4.png,imgs/s_30_r_4.png
17,5,25,30,imgs/s_5_r_4.png,imgs/s_25_r_4.png,imgs/s_30_r_4.png
18,40,25,15,imgs/s_40_r_4.png,imgs/s_25_r_4.png,imgs/s_15_r_4.png
