trial,s1,s2,s3,i1,i2,i3
0,30,20,5,imgs/s_30_r_1.png,imgs/s_20_r_1.png,imgs/s_5_r_1.png
1,10,25,50,imgs/s_10_r_1.png,imgs/s_25_r_1.png,imgs/s_50_r_1.png
2,15,20,40,imgs/s_15_r_1.png,imgs/s_20_r_1.png,imgs/s_40_r_1.png
3,15,25,50,imgs/s_15_r_1.png,imgs/s_25_r_1.png,imgs/s_50_r_1.png
4,30,50,60,imgs/s_30_r_1.png,imgs/s_50_r_1.png,imgs/s_60_r_1.png
5,20,15,5,imgs/s_20_r_1.png,imgs/s_15_r_1.png,imgs/s_5_r_1.png
6,30,40,50,imgs/s_30_r_1.png,imgs/s_40_r_1.png,imgs/s_50_r_1.png
7,20,25,60,imgs/s_20_r_1.png,imgs/s_25_r_1.png,imgs/s_60_r_1.png
8,50,15,5,imgs/s_50_r_1.png,imgs/s_15_r_1.png,imgs/s_5_r_1.png
9,40,25,15,imgs/s_40_r_1.png,imgs/s_25_r_1.png,imgs/s_15_r_1.png
10,60,50,40,imgs/s_60_r_1.png,imgs/s_50_r_1.png,imgs/s_40_r_1.png
11,10,30,60,imgs/s_10_r_1.png,imgs/s_30_r_1.png,imgs/s_60_r_1.png
12,10,30,40,imgs/s_10_r_1.png,imgs/s_30_r_1.png,imgs/s_40_r_1.png
13,50,20,5,imgs/s_50_r_1.png,imgs/s_20_r_1.png,imgs/s_5_r_1.png
14,25,40,50,imgs/s_25_r_1.png,imgs/s_40_r_1.png,imgs/s_50_r_1.png
15,5,10,15,imgs/s_5_r_1.png,imgs/s_10_r_1.png,imgs/s_15_r_1.png
16,15,40,50,imgs/s_15_r_1.png,imgs/s_40_r_1.png,imgs/s_50_r_1.png
17,60,40,5,imgs/s_60_r_1.png,imgs/s_40_r_1.png,imgs/s_5_r_1.png
18,60,50,15,imgs/s_60_r_1.png,imgs/s_50_r_1.png,imgs/s_15_r_1.png
19,15,30,40,imgs/s_15_r_1.png,imgs/s_30_r_1.png,imgs/s_40_r_1.png
20,40,30,25,imgs/s_40_r_1.png,imgs/s_30_r_1.png,imgs/s_25_r_1.png
21,5,15,30,imgs/s_5_r_1.png,imgs/s_15_r_1.png,imgs/s_30_r_1.png
22,15,30,60,imgs/s_15_r_1.png,imgs/s_30_r_1.png,imgs/s_60_r_1.png
23,10,25,30,imgs/s_10_r_1.png,imgs/s_25_r_1.png,imgs/s_30_r_1.png
24,15,20,50,imgs/s_15_r_1.png,imgs/s_20_r_1.png,imgs/s_50_r_1.png
25,5,10,50,imgs/s_5_r_1.png,imgs/s_10_r_1.png,imgs/s_50_r_1.png
26,40,20,5,imgs/s_40_r_1.png,imgs/s_20_r_1.png,imgs/s_5_r_1.png
27,40,30,5,imgs/s_40_r_1.png,imgs/s_30_r_1.png,imgs/s_5_r_1.png
28,15,30,50,imgs/s_15_r_1.png,imgs/s_30_r_1.png,imgs/s_50_r_1.png
29,15,40,60,imgs/s_15_r_1.png,imgs/s_40_r_1.png,imgs/s_60_r_1.png
30,20,30,40,imgs/s_20_r_1.png,imgs/s_30_r_1.png,imgs/s_40_r_1.png
31,50,40,10,imgs/s_50_r_1.png,imgs/s_40_r_1.png,imgs/s_10_r_1.png
32,5,40,50,imgs/s_5_r_1.png,imgs/s_40_r_1.png,imgs/s_50_r_1.png
33,10,15,20,imgs/s_10_r_1.png,imgs/s_15_r_1.png,imgs/s_20_r_1.png
34,5,25,60,imgs/s_5_r_1.png,imgs/s_25_r_1.png,imgs/s_60_r_1.png
35,10,20,50,imgs/s_10_r_1.png,imgs/s_20_r_1.png,imgs/s_50_r_1.png
36,40,25,5,imgs/s_40_r_1.png,imgs/s_25_r_1.png,imgs/s_5_r_1.png
37,5,10,25,imgs/s_5_r_1.png,imgs/s_10_r_1.png,imgs/s_25_r_1.png
38,60,25,10,imgs/s_60_r_1.png,imgs/s_25_r_1.png,imgs/s_10_r_1.png
39,60,20,10,imgs/s_60_r_1.png,imgs/s_20_r_1.png,imgs/s_10_r_1.png
40,5,25,50,imgs/s_5_r_1.png,imgs/s_25_r_1.png,imgs/s_50_r_1.png
41,60,15,10,imgs/s_60_r_1.png,imgs/s_15_r_1.png,imgs/s_10_r_1.png
42,10,15,25,imgs/s_10_r_1.png,imgs/s_15_r_1.png,imgs/s_25_r_1.png
43,5,10,20,imgs/s_5_r_1.png,imgs/s_10_r_1.png,imgs/s_20_r_1.png
44,40,25,10,imgs/s_40_r_1.png,imgs/s_25_r_1.png,imgs/s_10_r_1.png
45,50,40,20,imgs/s_50_r_1.png,imgs/s_40_r_1.png,imgs/s_20_r_1.png
46,60,15,5,imgs/s_60_r_1.png,imgs/s_15_r_1.png,imgs/s_5_r_1.png
47,25,20,5,imgs/s_25_r_1.png,imgs/s_20_r_1.png,imgs/s_5_r_1.png
48,60,40,25,imgs/s_60_r_1.png,imgs/s_40_r_1.png,imgs/s_25_r_1.png
49,30,15,10,imgs/s_30_r_1.png,imgs/s_15_r_1.png,imgs/s_10_r_1.png
50,5,20,60,imgs/s_5_r_1.png,imgs/s_20_r_1.png,imgs/s_60_r_1.png
51,25,20,10,imgs/s_25_r_1.png,imgs/s_20_r_1.png,imgs/s_10_r_1.png
52,20,25,30,imgs/s_20_r_1.png,imgs/s_25_r_1.png,imgs/s_30_r_1.png
53,20,25,40,imgs/s_20_r_1.png,imgs/s_25_r_1.png,imgs/s_40_r_1.png
54,5,25,30,imgs/s_5_r_1.png,imgs/s_25_r_1.png,imgs/s_30_r_1.png
55,5,50,60,imgs/s_5_r_1.png,imgs/s_50_r_1.png,imgs/s_60_r_1.png
56,50,15,10,imgs/s_50_r_1.png,imgs/s_15_r_1.png,imgs/s_10_r_1.png
57,10,20,40,imgs/s_10_r_1.png,imgs/s_20_r_1.png,imgs/s_40_r_1.png
58,60,25,15,imgs/s_60_r_1.png,imgs/s_25_r_1.png,imgs/s_15_r_1.png
59,5,30,50,imgs/s_5_r_1.png,imgs/s_30_r_1.png,imgs/s_50_r_1.png
60,10,40,60,imgs/s_10_r_1.png,imgs/s_40_r_1.png,imgs/s_60_r_1.png
61,5,10,60,imgs/s_5_r_1.png,imgs/s_10_r_1.png,imgs/s_60_r_1.png
62,15,20,25,imgs/s_15_r_1.png,imgs/s_20_r_1.png,imgs/s_25_r_1.png
63,25,30,50,imgs/s_25_r_1.png,imgs/s_30_r_1.png,imgs/s_50_r_1.png
64,25,30,60,imgs/s_25_r_1.png,imgs/s_30_r_1.png,imgs/s_60_r_1.png
65,20,50,60,imgs/s_20_r_1.png,imgs/s_50_r_1.png,imgs/s_60_r_1.png
66,60,30,20,imgs/s_60_r_1.png,imgs/s_30_r_1.png,imgs/s_20_r_1.png
67,5,15,40,imgs/s_5_r_1.png,imgs/s_15_r_1.png,imgs/s_40_r_1.png
68,40,15,10,imgs/s_40_r_1.png,imgs/s_15_r_1.png,imgs/s_10_r_1.png
69,20,30,50,imgs/s_20_r_1.png,imgs/s_30_r_1.png,imgs/s_50_r_1.png
70,20,40,60,imgs/s_20_r_1.png,imgs/s_40_r_1.png,imgs/s_60_r_1.png
71,30,20,15,imgs/s_30_r_1.png,imgs/s_20_r_1.png,imgs/s_15_r_1.png
72,60,20,15,imgs/s_60_r_1.png,imgs/s_20_r_1.png,imgs/s_15_r_1.png
73,60,40,30,imgs/s_60_r_1.png,imgs/s_40_r_1.png,imgs/s_30_r_1.png
74,30,20,10,imgs/s_30_r_1.png,imgs/s_20_r_1.png,imgs/s_10_r_1.png
75,10,30,50,imgs/s_10_r_1.png,imgs/s_30_r_1.png,imgs/s_50_r_1.png
76,15,25,30,imgs/s_15_r_1.png,imgs/s_25_r_1.png,imgs/s_30_r_1.png
77,10,50,60,imgs/s_10_r_1.png,imgs/s_50_r_1.png,imgs/s_60_r_1.png
78,25,50,60,imgs/s_25_r_1.png,imgs/s_50_r_1.png,imgs/s_60_r_1.png
79,5,30,60,imgs/s_5_r_1.png,imgs/s_30_r_1.png,imgs/s_60_r_1.png
80,20,25,50,imgs/s_20_r_1.png,imgs/s_25_r_1.png,imgs/s_50_r_1.png
81,30,10,5,imgs/s_30_r_1.png,imgs/s_10_r_1.png,imgs/s_5_r_1.png
82,25,15,5,imgs/s_25_r_1.png,imgs/s_15_r_1.png,imgs/s_5_r_1.png
83,40,10,5,imgs/s_40_r_1.png,imgs/s_10_r_1.png,imgs/s_5_r_1.png
